Time,MATLAB_RPM_1,MATLAB_RPM_2
0,0,0
0.01,0.013909524800117,0
0.02,0.0131168325679132,0
0.03,0.0123966396209085,0
0.04,0.011855036055459,0
0.05,0.0108552815802459,0
0.06,0.00995542871515308,0
0.07,0.00914267817284536,1.3877787807722e-16
0.08,0.00868420515650559,0.1
0.09,0.00736362024413464,0.1
0.1,0.00649919736430654,0.1
0.11,0.00531907455336861,0.1
0.12,0.00363615292247071,0.1
0.13,0.00195044347757564,0.1
0.14,0.000686528222784892,0.1
0.15,-5.01598727662092e-06,0.1
0.16,-0.000257739669889503,0.1
0.17,-0.000265622614287683,0.1
0.18,-0.000180840540491514,0.2
0.19,-8.99587975732105e-05,0.2
0.2,-2.6833307623162e-05,0.2
0.21,5.24458826044414e-06,0.2
0.22,1.5312973841837e-05,0.2
0.23,1.39617589128618e-05,0.2
0.24,8.8559625307396e-06,0.2
0.25,4.05448918438947e-06,0.2
0.26,9.49920338290769e-07,0.2
0.27,-5.05639633207802e-07,0.200000000000144
0.28,-8.74144944781481e-07,26.0999999999999
0.29,4.56366794117911,26.1
0.3,6.18736292462342,26.1
0.31,9.16617369253021,26.1
0.32,13.5929161429486,26.1
0.33,17.588268182388,26.1
0.34,21.3697519214765,26.1
0.35,24.6726599150993,26.1
0.36,25.2478835090678,26.1
0.37,31.7501671318963,26.1
0.38,37.6382009829495,29.2
0.39,41.5566718905538,29.2
0.4,46.5434108338372,29.2
0.41,51.3282058540047,29.2
0.42,56.670363647904,29.2
0.43,62.0891601598142,29.2
0.44,67.9442324242249,29.2
0.45,73.4565799454198,29.2
0.46,79.4082048270704,29.2
0.47,85.4790594488893,29.2000000000001
0.48,91.3172384790068,51.1
0.49,97.5023794507217,51.1
0.5,103.95180257867,51.1
0.51,110.777652955939,51.1
0.52,116.423692796883,51.1
0.53,123.438997667123,51.1
0.54,129.794174493366,51.1
0.55,136.401271647314,51.1
0.56,143.190407089552,51.1
0.57,149.519573128504,51.1000000000004
0.58,156.40884839173,88.6
0.59,162.926092912277,88.6
0.6,169.564306417629,88.6
0.61,175.413166795704,88.6
0.62,182.226139201851,88.6
0.63,188.165658707117,88.6
0.64,194.113447177558,88.6
0.65,199.960885276442,88.6
0.66,205.639492544636,88.6
0.67,211.119076806152,88.6000000000004
0.68,216.585611488545,122.9
0.69,221.643599369481,122.9
0.7,226.832616191904,122.9
0.71,231.872769024935,122.9
0.72,236.759147007853,122.9
0.73,241.76852490083,122.9
0.74,246.894862986699,122.9
0.75,251.51874245062,122.9
0.76,256.704257585887,122.9
0.77,261.406863566517,122.9
0.78,266.093663831696,158
0.79,270.808326244039,158
0.8,275.614378696235,158
0.81,279.926864112677,158
0.82,283.907432028687,158
0.83,287.872738246438,158
0.84,291.590556478262,158
0.85,295.277302754661,158
0.86,298.599968739376,158
0.87,301.644089573523,158
0.88,304.34569259704,187
0.89,307.170940357468,187
0.9,309.562684652844,187
0.91,311.981883284758,187
0.92,314.174211195093,187
0.93,316.359557469156,187
0.94,318.479886054311,187
0.95,320.332189441504,187
0.96,322.104892886031,187
0.97,323.941408579834,187
0.98,325.377553819104,208.7
0.99,326.78047744059,208.7
1,328.135834454185,208.7
1.01,329.586288960944,208.7
1.02,331.087908337317,208.7
1.03,332.299804866293,208.7
1.04,333.965924655702,208.7
1.05,335.491895535486,208.7
1.06,337.016001366176,208.7
1.07,338.534862420865,208.7
1.08,340.151814569305,227.8
1.09,341.62354312588,227.8
1.1,343.000590057665,227.8
1.11,344.450422718462,227.8
1.12,346.078406650601,227.8
1.13,347.481545493337,227.8
1.14,348.988938797412,227.8
1.15,350.549920299717,227.8
1.16,351.947655663228,227.8
1.17,353.557541569701,227.8
1.18,355.10724772691,248.3
1.19,356.528416495525,248.3
1.2,358.2100666299,248.3
1.21,359.582787230697,248.3
1.22,361.119111535645,248.3
1.23,362.637977004295,248.3
1.24,364.002700072809,248.3
1.25,365.563232844261,248.3
1.26,367.182133245894,248.3
1.27,368.572944715556,248.3
1.28,370.023848213847,264
1.29,371.553172588675,264
1.3,373.187248562424,264
1.31,374.614041721814,264
1.32,376.219125524269,264
1.33,377.791848530706,264
1.34,379.085138225157,264
1.35,380.755811350125,264
1.36,382.142069498449,264
1.37,383.837524133672,264.000000000001
1.38,385.208901813551,286.3
1.39,386.906930919145,286.3
1.4,388.279052947157,286.3
1.41,389.819666137388,286.3
1.42,391.298089076703,286.3
1.43,392.921505616176,286.3
1.44,394.473874276259,286.3
1.45,395.938015938698,286.3
1.46,397.354118578936,286.3
1.47,398.836016523702,286.3
1.48,400.347253321603,298.7
1.49,401.988729921583,298.7
1.5,403.359559739852,298.7
1.51,404.947641141162,298.7
1.52,406.319259917792,298.7
1.53,407.763538103352,298.7
1.54,409.190501716248,298.7
1.55,410.578931644933,298.7
1.56,412.022437677566,298.7
1.57,413.418443637558,298.700000000001
1.58,414.859817617827,320.7
1.59,416.409201185606,320.7
1.6,417.658147163084,320.7
1.61,419.085666732179,320.7
1.62,420.538052766345,320.7
1.63,422.04537182082,320.7
1.64,423.325627720064,320.7
1.65,424.982483870143,320.7
1.66,426.328837139629,320.7
1.67,427.87819433564,320.7
1.68,429.302910677117,334.6
1.69,430.652174598394,334.6
1.7,432.101312338461,334.6
1.71,433.5706099289,334.6
1.72,435.163289119078,334.6
1.73,436.622957732894,334.6
1.74,438.133441475671,334.6
1.75,439.680781949143,334.6
1.76,441.456848294637,334.6
1.77,443.155888587334,334.6
1.78,444.958797861216,354.5
1.79,446.492061411528,354.5
1.8,448.20643744825,354.5
1.81,449.978040943529,354.5
1.82,451.491332998367,354.5
1.83,453.290165729956,354.5
1.84,454.843509920207,354.5
1.85,456.357211870959,354.5
1.86,458.102955304695,354.5
1.87,459.944641271535,354.5
1.88,461.384988888709,373.1
1.89,463.206357898174,373.1
1.9,464.767910559747,373.1
1.91,466.605909122027,373.1
1.92,468.35298961015,373.1
1.93,470.312892889945,373.1
1.94,472.451629935266,373.1
1.95,474.470028311881,373.1
1.96,476.410690309815,373.1
1.97,478.661971571256,373.1
1.98,480.926873066288,390.8
1.99,483.159467418889,390.8
2,485.450071670882,390.8
2.01,487.722732559664,390.8
2.02,490.001837852363,390.8
2.03,492.378044889411,390.8
2.04,494.423739522245,390.8
2.05,496.780459075156,390.8
2.06,499.024021229147,390.8
2.07,500.984262445426,390.8
2.08,503.119557693138,410.4
2.09,505.434325944731,410.4
2.1,507.542454422449,410.4
2.11,509.950836833294,410.4
2.12,512.580958878853,410.4
2.13,514.913555457794,410.4
2.14,517.46837038707,410.4
2.15,520.238580535199,410.4
2.16,523.043973671602,410.4
2.17,526.00454216682,410.4
2.18,529.266297890836,431.699999999999
2.19,532.379113045825,431.7
2.2,535.573956811949,431.7
2.21,538.828778722456,431.7
2.22,542.078488271045,431.7
2.23,545.489021509453,431.7
2.24,548.665478682555,431.7
2.25,552.309056396657,431.7
2.26,555.925674384204,431.7
2.27,559.421689096742,431.7
2.28,562.812617754749,454.7
2.29,566.664320300804,454.7
2.3,570.251095114095,454.7
2.31,573.905522371196,454.7
2.32,577.705567546672,454.7
2.33,581.821390092973,454.7
2.34,585.804743590911,454.7
2.35,589.800971090738,454.7
2.36,594.083913877785,454.7
2.37,598.163174608205,454.7
2.38,602.498417779624,487
2.39,606.86665911563,487
2.4,611.571066072852,487
2.41,616.263213011581,487
2.42,621.024505842249,487
2.43,625.973528142938,487
2.44,630.984933908507,487
2.45,636.322243888658,487
2.46,641.523258521251,487
2.47,646.8784316229,487.000000000001
2.48,652.315340062761,520.6
2.49,658.002302478429,520.6
2.5,663.900811340654,520.6
2.51,669.686967478433,520.6
2.52,675.326535727229,520.6
2.53,681.083342823161,520.6
2.54,686.823566825277,520.6
2.55,692.885122468543,520.6
2.56,698.744116603967,520.6
2.57,704.582424719097,520.6
2.58,710.545173829672,558
2.59,716.661218929384,558
2.6,722.590322402937,558
2.61,728.66247275154,558
2.62,734.790690221468,558
2.63,740.567122545795,558
2.64,746.409153784124,558
2.65,752.57880603884,558
2.66,758.555170847559,558
2.67,764.472605478618,558
2.68,770.265417456146,596.399999999998
2.69,776.270938052196,596.4
2.7,782.444088698145,596.4
2.71,788.674606925048,596.4
2.72,794.948236345066,596.4
2.73,801.279255612227,596.4
2.74,807.790565625488,596.4
2.75,814.028273929418,596.4
2.76,820.450011921042,596.4
2.77,827.246826007739,596.4
2.78,833.902755373636,642.3
2.79,840.820976163033,642.3
2.8,847.810442260224,642.3
2.81,854.788042146061,642.3
2.82,861.69064567143,642.3
2.83,868.684625944554,642.3
2.84,875.815734892004,642.3
2.85,882.975358993692,642.3
2.86,890.33896501842,642.3
2.87,897.253942543043,642.300000000002
2.88,904.787051026416,683.5
2.89,911.847901554914,683.5
2.9,919.265874175459,683.5
2.91,926.6484830318,683.5
2.92,933.865692417771,683.5
2.93,941.244613941596,683.5
2.94,948.980257519609,683.5
2.95,956.749613523859,683.5
2.96,964.449296387749,683.5
2.97,972.204250928308,683.500000000002
2.98,980.13389965268,732.9
2.99,987.864443051967,732.9
3,995.835138212271,732.9
3.01,1004.04124324957,732.9
3.02,1012.04214100835,732.9
3.03,1019.86701595338,732.9
3.04,1027.74665259928,732.9
3.05,1035.73327541998,732.9
3.06,1043.56695431483,732.9
3.07,1051.48427537578,732.900000000002
3.08,1059.2566554522,785.2
3.09,1067.45083997876,785.2
3.1,1075.30700579083,785.2
3.11,1083.20078924906,785.2
3.12,1090.92460939891,785.2
3.13,1098.65444191755,785.2
3.14,1106.21798964974,785.2
3.15,1113.8736716077,785.2
3.16,1121.35118990965,785.2
3.17,1129.28600973656,785.2
3.18,1136.88810490136,838.099999999998
3.19,1144.72438281131,838.1
3.2,1152.27209527922,838.1
3.21,1159.85353680618,838.1
3.22,1167.62717243242,838.1
3.23,1175.16434164566,838.1
3.24,1182.67703660955,838.1
3.25,1190.38113052786,838.1
3.26,1197.73142290346,838.1
3.27,1205.37873186502,838.1
3.28,1212.69829948047,888.3
3.29,1220.17370096982,888.3
3.3,1227.58322163052,888.3
3.31,1234.84876488856,888.3
3.32,1242.1997313962,888.3
3.33,1249.59543124242,888.3
3.34,1256.89565662302,888.3
3.35,1264.12724287302,888.3
3.36,1271.37765349876,888.3
3.37,1278.61092893472,888.300000000002
3.38,1285.71152973587,927.2
3.39,1292.92792239525,927.2
3.4,1300.24754793029,927.2
3.41,1307.61358591572,927.2
3.42,1314.88309555388,927.2
3.43,1322.09063553513,927.2
3.44,1329.56219970406,927.2
3.45,1336.96694518674,927.2
3.46,1344.41786295363,927.2
3.47,1351.9438590443,927.200000000002
3.48,1359.59152859926,978.9
3.49,1367.1337761668,978.9
3.5,1374.80038787426,978.9
3.51,1382.48890624129,978.9
3.52,1390.20973651935,978.9
3.53,1398.16460404905,978.9
3.54,1406.17427726272,978.9
3.55,1413.97306050659,978.9
3.56,1422.07671779724,978.9
3.57,1430.13548973714,978.900000000003
3.58,1438.41950126831,1046.5
3.59,1446.75687695514,1046.5
3.6,1455.00420536411,1046.5
3.61,1463.20252808333,1046.5
3.62,1471.68734631701,1046.5
3.63,1479.81362898053,1046.5
3.64,1488.13682477375,1046.5
3.65,1496.21443814321,1046.5
3.66,1504.60647575281,1046.5
3.67,1512.9134315305,1046.5
3.68,1520.91422864208,1096.1
3.69,1529.04772365722,1096.1
3.7,1537.12794826276,1096.1
3.71,1545.31640452945,1096.1
3.72,1553.69012389722,1096.1
3.73,1561.79381710527,1096.1
3.74,1570.2235903448,1096.1
3.75,1578.4391220032,1096.1
3.76,1586.55937938302,1096.1
3.77,1594.80868350225,1096.1
3.78,1603.22417612054,1188.4
3.79,1611.60393832623,1188.4
3.8,1619.94115867565,1188.4
3.81,1628.22526288497,1188.4
3.82,1636.63581433561,1188.4
3.83,1645.01931605661,1188.4
3.84,1653.31648215725,1188.4
3.85,1661.64446001961,1188.4
3.86,1669.88264201189,1188.4
3.87,1678.18908190938,1188.4
3.88,1686.36428161897,1237.4
3.89,1694.68496737519,1237.4
3.9,1703.06331655442,1237.4
3.91,1711.09529668188,1237.4
3.92,1719.44094969415,1237.4
3.93,1727.53738531452,1237.4
3.94,1735.66330856222,1237.4
3.95,1743.87624400103,1237.4
3.96,1751.8122356025,1237.4
3.97,1759.96076296951,1237.4
