Time,Matlab_Irms_1,Matlab_Irms_2,Matlab_Irms_3,Matlab_Irms_4
0,0,0,0,0
0.01,0.010595870283547,0.00517150026316709,0.00542437163797843,0
0.02,0.00512103912803395,0.002510263217157,0.00261077752847546,0
0.03,0.0032746904153796,0.00166358464865159,0.0016111041491295,0
0.04,0.0023276258834668,0.00114372833261045,0.00118389916845486,0
0.05,0.0061462315880949,0.00305355018355462,0.00309268302213879,0
0.06,0.00136939719470305,0.00066423921695522,0.000705159595346338,0
0.07,0.010328503974292,0.00514284584009225,0.00518565975179828,2.50062179134574e-15
0.08,0.00478361501464856,0.00236928043914928,0.00241433619309779,1.80188789884388
0.09,0.00689743968454805,0.0034262086211899,0.00347123268095666,1.80188789884388
0.1,0.00938288553629473,0.00466999793317601,0.00471288922071723,1.80188789884388
0.11,0.0104709374743193,0.0052156776556904,0.00525526143622737,1.80188789884388
0.12,0.010066072264665,0.00501649471717646,0.00504957916508703,1.80188789884388
0.13,0.00909575883401511,0.00453602867706437,0.00455973177454924,1.80188789884388
0.14,0.00573633410609073,0.00286120076328994,0.0028751349603993,1.80188789884388
0.15,0.0026070357982503,0.00130041375014,0.00130662366570882,1.80188789884388
0.16,0.000595366241508996,0.00029694816699714,0.000298419692110367,1.80188789884388
0.17,0.000341141634671617,0.000170219344044215,0.00017092067302889,1.80188789884388
0.18,0.000573018859725904,0.000285884708927672,0.00028713253319972,3.56602019063269
0.19,0.000469160430211849,0.000234064666531407,0.00023509414608193,3.56602019063269
0.2,0.000276087666364948,0.00013773950695269,0.000138346541813746,3.56602019063269
0.21,0.000113931188035753,5.68394853034136e-05,5.7090085133828e-05,3.56602019063269
0.22,1.66747274156047e-05,8.31827828481666e-06,8.35483153227614e-06,3.56602019063269
0.23,2.46044795589153e-05,1.22758833312442e-05,1.2330213826183e-05,3.56602019063269
0.24,3.1666640630444e-05,1.57991995811517e-05,1.58690586478042e-05,3.56602019063269
0.25,2.38111005865143e-05,1.18800984026936e-05,1.19326197823325e-05,3.56602019063269
0.26,1.30612996184471e-05,6.51705398746497e-06,6.54586322949399e-06,3.56602019063269
0.27,4.79536472699107e-06,2.39320234802299e-06,2.40377997747993e-06,3.5660201906329
0.28,1.71678256927421e-07,8.6458065075436e-08,8.68377903638426e-08,42.0571991459249
0.29,19.1714230659877,0.0135027464179912,19.1579203179489,42.0571991459251
0.3,68.6321873253641,68.6299871338721,0.00220018987271271,42.0571991459251
0.31,0.00616620986642549,0.000118338174327663,0.00628454965835166,42.0571991459251
0.32,0.0142849973168594,0.00375871495483598,0.0180437138908939,42.0571991459251
0.33,16.6964904105893,0.0125321182972015,16.6839582906713,42.0571991459251
0.34,22.9880762059602,0.0166877919591498,22.9713884123802,42.0571991459251
0.35,33.0991668678851,0.0167640974347555,33.0824027688295,42.0571991459251
0.36,0.0208035507314388,0.43510320856181,0.455906760914047,42.0571991459251
0.37,0.0174600761282674,5.75119186862845,5.73373179087939,42.0571991459251
0.38,0.0109598932738918,5.4511357693519,5.44017587445721,61.7609213014184
0.39,10.7992083405446,26.871162108921,37.6703704478464,61.7609213014184
0.4,3.85111233058858,3.83940825627955,0.011704072688226,61.7609213014184
0.41,55.5459319779235,7.55032489976865,63.096256879313,61.7609213014184
0.42,0.535639347792376,0.0128857361966664,0.548525085609841,61.7609213014184
0.43,7.96661331602619,19.1536717811641,11.1870584667571,61.7609213014184
0.44,3.1233190490276,7.12826410912386,10.2515831597723,61.7609213014184
0.45,62.9128106376233,62.9016524893569,0.0111581466455458,61.7609213014184
0.46,33.0529450322043,3.86505280152777,36.9179978321129,61.7609213014184
0.47,5.20500830720621,40.9263238556008,46.1313321611879,61.7609213014185
0.48,55.3378081905894,47.4084998767885,7.92930831542004,83.7109270047824
0.49,84.1624128033388,20.7515023621308,63.4109104428269,83.7109270047824
0.5,57.8319973456322,16.0762215452564,41.755775801995,83.7109270047824
0.51,47.2253057342329,44.4960049678255,2.72930076478659,83.7109270047824
0.52,68.7481039186158,12.0325929117274,80.7806968287244,83.7109270047824
0.53,5.02216528620484,48.9278613923789,43.9056961045533,83.7109270047824
0.54,16.9689810169645,11.1220996914714,5.84688132711231,83.7109270047824
0.55,58.6454947378808,20.2080756711681,38.4374190683319,83.7109270047824
0.56,37.3802755971945,21.4061821914071,15.9740934041666,83.7109270047824
0.57,24.8389894828586,21.4779029446711,3.36108653656673,83.7109270047824
0.58,28.6802831101032,10.7223720536822,17.9579110580402,88.0742016710909
0.59,6.7598964151113,44.2539672777703,37.4940708642782,88.0742016710909
0.6,18.3614849132534,18.5199518888016,0.158466977167418,88.0742016710909
0.61,38.2257237562157,20.4158760853129,58.6415998399097,88.0742016710909
0.62,9.25413548783048,6.26386779591001,15.5180032853613,88.0742016710909
0.63,17.1472889933354,7.78526587054165,9.36202312441302,88.0742016710909
0.64,48.1752713132434,11.9579935094164,36.2172778022061,88.0742016710909
0.65,48.1464289682224,58.7495743739013,10.6031454040582,88.0742016710909
0.66,13.6461555640541,41.9928477060317,55.6390032717065,88.0742016710909
0.67,39.6061923074293,23.1464398637521,16.4597524420563,88.0742016710906
0.68,52.3390108297837,15.1118663842124,37.2271444471903,61.54134301427
0.69,7.83808744751259,10.7132872199863,2.87519977085292,61.5413430142697
0.7,3.48023342945291,0.257399456312281,3.22283397475981,61.5413430142697
0.71,28.4734544472322,2.57652375728859,31.0499782061414,61.5413430142697
0.72,15.3509496281627,16.0936777104832,0.742728083939738,61.5413430142697
