Time,Irms_1,Irms_2,Irms_3,Irms_4
0.1,-0.00355976969882269,0.00177901670097049,0.0017807546154507,1.80188789884388
0.11,-0.00281566531538258,0.00140712428154359,0.0014085426514375,1.80188789884388
0.12,-0.00222194603733568,0.00111039905433479,0.0011115486005994,1.80188789884388
0.13,-0.0017510221764678,0.000875049001440845,0.000875974792625462,1.80188789884388
0.14,-0.00137878912820507,0.000689024518091474,0.000689766227712109,1.80188789884388
0.15,-0.00108516378641129,0.000542286811210351,0.000542878592799447,1.80188789884388
0.16,-0.000853824807955255,0.000426677890432563,0.000427148535121203,1.80188789884388
0.17,-0.000671689539249355,0.000335658890946351,0.000336032265901515,1.80188789884388
0.18,-0.000528353524099717,0.000264029750998113,0.000264325390700116,3.56602019063269
0.19,-0.000415579948653035,0.000207673912484358,0.000207907653767189,3.56602019063269
0.2,-0.000326865480066082,0.000163341253914262,0.000163525843750332,3.56602019063269
0.21,-0.000257083550504938,0.000128469762202095,0.000128615405901354,3.56602019063269
0.22,-0.000202196669381434,0.000101041726170992,0.000101156560808954,3.56602019063269
0.23,-0.000159026824244956,7.94689740837809e-05,7.95594677596873e-05,3.56602019063269
0.24,-0.000125073342095896,6.25018389258419e-05,6.25731207685663e-05,3.56602019063269
0.25,-9.83689113112523e-05,4.91571993948846e-05,4.92133295148796e-05,3.56602019063269
0.26,-7.73660018037926e-05,3.86617158477074e-05,3.87059035545971e-05,3.56602019063269
0.27,4.85776043304258,-2.42977468399943,-2.42798574742235,3.5660201906329
0.28,8.2397246428756,-4.13026893062334,-4.10945571063146,42.0571991459249
0.29,1.35245486078955,-0.719572038852229,-0.63288282031652,42.0571991459251
0.3,-0.000613797033364607,0.00121326960994349,-0.000599470958980368,42.0571991459251
0.31,35.6619575370538,-18.0408611514811,-17.621096383952,42.0571991459251
0.32,-0.00410634103333716,-0.00295690484361642,0.00706324749455209,42.0571991459251
0.33,25.182680230973,-13.299201786808,-11.8834784425442,42.0571991459251
0.34,51.4128792675926,-26.2628360788446,-25.1500431871272,42.0571991459251
0.35,26.6959069707992,23.2106267717404,-49.9065337409204,42.0571991459251
0.36,16.0333680871599,10.6077010831239,-26.6410691686646,42.0571991459251
0.37,31.6560964215172,20.1077329978399,-51.7638294177379,42.0571991459251
0.38,6.23961814716162,14.4637272327643,-20.7033453783068,61.7609213014184
0.39,13.1286793839059,12.8913014964275,-26.0199808787142,61.7609213014184
0.4,13.7617248421628,20.5535593417372,-34.3152841822808,61.7609213014184
0.41,15.8185622805431,18.8557294490424,-34.6742917279663,61.7609213014184
0.42,19.3239534609931,10.2607493971176,-29.5847028564915,61.7609213014184
0.43,22.1725942811,10.7071081669892,-32.87970244647,61.7609213014184
0.44,-18.0579666521468,50.9596418281068,-32.9016751743392,61.7609213014184
0.45,-20.499508465243,28.0921918128874,-7.59268334602363,61.7609213014184
0.46,-26.1160755049183,49.6721465936771,-23.5560710871381,61.7609213014184
0.47,0.776789350565392,16.9561212924393,-17.7329106413855,61.7609213014184
0.48,-42.4530464803971,56.8728448765439,-14.4197983945262,83.7109270047824
0.49,-52.5279124091233,26.2142240292735,26.313688381469,83.7109270047824
0.5,-49.4370737793873,33.8437309679083,15.5933428130982,83.7109270047824
0.51,0.0594416383994561,-10.7645730701194,10.7051314333392,83.7109270047824
0.52,-19.6843223054427,-31.2982179963057,50.9825403033692,83.7109270047824
0.53,6.16503618836859,-17.9624133268335,11.7973771400841,83.7109270047824
0.54,26.9261518902665,-70.0238067472816,43.097654858634,83.7109270047824
0.55,2.24837103238495,-28.0076049524688,25.759233921703,83.7109270047824
0.56,42.7245746008828,-11.2248007074066,-31.4997738918556,83.7109270047824
0.57,42.3511089582495,-23.6644239209389,-18.6866850356898,83.7109270047824
0.58,15.0768693631469,16.1944420179502,-31.271311379478,88.0742016710909
0.59,15.553670953525,3.20687668921574,-18.7605476411215,88.0742016710909
0.6,-22.0590102281505,30.0529018650265,-7.99389163525527,88.0742016710909
0.61,-42.0331060427859,35.2783226129122,6.7547834314929,88.0742016710909
0.62,-57.4862905695447,21.0418145838164,36.4444759873474,88.0742016710909
0.63,-24.1280040243331,7.73196778918676,16.3960362367655,88.0742016710909
0.64,-20.1236402651531,-11.884782916195,32.008423182969,88.0742016710909
0.65,14.1452940780037,-13.2816714435574,-0.863622632825503,88.0742016710909
0.66,50.8423136980459,-35.1624211491167,-15.6798925473084,88.0742016710909
0.67,52.8953156695452,-32.0383688463176,-20.8569468216067,88.0742016710906
0.68,-3.06319418315902,13.1461918391905,-10.0829976544107,61.54134301427
0.69,0.279194956093902,20.516135212236,-20.7953301667107,61.5413430142697
0.7,-44.8829455445508,42.4955613607535,2.3873841854164,61.5413430142697
0.71,-46.9604044799458,28.7087724540237,18.2516320275412,61.5413430142697
0.72,-25.6538172391309,-22.4154772650937,48.0692945058454,61.5413430142697
0.73,36.8891912593674,-53.1767541581536,16.2875629004053,61.5413430142697
0.74,46.7433476043304,-36.4901640907944,-10.2531835119153,61.5413430142697
0.75,39.2305848311299,2.99380546894271,-42.2243902984534,61.5413430142697
0.76,17.21763291503,-0.0720599739893951,-17.1455729394199,61.5413430142697
0.77,-16.6064813452979,43.75744462164,-27.1509632747213,61.5413430142697
0.78,-19.0534275893171,3.55629572743639,15.4971318634999,53.9803454972271
0.79,6.03603474905294,-17.5999795185159,11.5639447710821,53.980345497227
0.8,3.52182630891877,-11.2881080658457,7.76628175854616,53.980345497227
0.81,32.5271950375495,-10.9676485711516,-21.5595464647771,53.980345497227
0.82,33.1727559458453,-16.6211668684059,-16.5515890758187,53.980345497227
0.83,-14.2312871217909,1.85366139056689,12.3776257328433,53.980345497227
0.84,-25.8572281059793,11.6806484739241,14.1765796336745,53.980345497227
0.85,-18.9903795612802,-2.24690078294114,21.2372803458421,53.980345497227
0.86,-8.49665267077353,-31.888319643772,40.3849723161663,53.980345497227
0.87,-1.63593780052774,-16.7197972298942,18.3557350320428,53.980345497227
0.88,-5.91277654826175,13.4462290225073,-7.53345247262474,41.9736226694814
0.89,-23.1576415120596,24.750392588699,-1.59275107501872,41.9736226694814
0.9,-18.3418540459615,30.7177969501614,-12.3759429025791,41.9736226694814
0.91,8.40057469000504,-14.1985913599508,5.79801667156496,41.9736226694814
0.92,7.95140558417492,6.00718090641641,-13.9585864889721,41.9736226694814
0.93,33.7175624030605,-5.1791227973464,-28.5384396040931,41.9736226694814
0.94,-3.20743673662277,17.6559764400209,-14.4485397017774,41.9736226694814
0.95,-24.7052811090367,30.7165685204105,-6.01128740975303,41.9736226694814
0.96,-13.1212618504243,0.453066710689385,12.6681951413541,41.9736226694814
0.97,-9.50722975908867,-9.41990074662288,18.9271305073323,41.9736226694814
0.98,-0.843675247002012,-6.18763762303826,7.03131287166106,40.9108909704983
0.99,-13.0979439699174,-0.93760270468427,14.0355466762224,40.9108909704983
1,10.608943915525,-17.1614089237811,6.5524650098753,40.9108909704983
1.01,-12.4047192566732,-0.732099968503955,13.1368192267979,40.9108909704983
1.02,3.87668275555863,-15.9222936271155,12.0456108731761,40.9108909704983
1.03,11.5683520362703,2.3271522444138,-13.8955042790649,40.9108909704983
1.04,33.0814732203698,-6.79139115607312,-26.2900820626757,40.9108909704983
1.05,-3.70802350644516,-1.63083900053834,5.33886250860429,40.9108909704983
1.06,-16.3037951276651,28.9644667945089,-12.6606716652231,40.9108909704983
1.07,-23.6234826739501,18.8172391389552,4.80624353661408,40.9108909704983
1.08,-11.9960284131652,15.0667495120479,-3.0707210972619,41.7966374245584
1.09,-0.0213694566814454,9.32778955464785,-9.30642009634561,41.7966374245584
1.1,-10.8775168420413,18.4905885015901,-7.61307165792797,41.7966374245584
1.11,-7.91876978464382,-1.73286266627503,9.65163245253962,41.7966374245584
1.12,-16.7255287930707,1.4172545781439,15.3082742165459,41.7966374245584
1.13,-15.810692307231,-6.21919395965895,22.0298862685107,41.7966374245584
1.14,-15.2980610968467,7.87175059226922,7.42631050619658,41.7966374245584
1.15,-12.2561781257121,10.4750787711611,1.78109935617015,41.7966374245584
1.16,-13.2371053227596,-4.57713561350294,17.8142409378833,41.7966374245584
1.17,-1.52265120891746,-8.38411392053609,9.90676513107434,41.7966374245586
1.18,1.98556752954324,4.33575903531815,-6.32132656324219,46.5443111454021
1.19,-2.90804043130126,-16.6079623661064,19.5160027990284,46.5443111454021
1.2,-8.582171421062,9.34041498235589,-0.75824355967313,46.5443111454021
1.21,-10.8463639478852,-9.01239177055431,19.8587557200603,46.5443111454021
1.22,11.8457411484979,-12.4171890893659,0.571447942487242,46.5443111454021
1.23,-4.58683722856941,5.26361756297702,-0.676780332786838,46.5443111454021
1.24,7.91685511355108,-7.11049756498186,-0.806357546948369,46.5443111454021
1.25,-0.215699639595465,12.7774776187804,-12.5617779775642,46.5443111454021
1.26,-10.314074538391,15.7151991821954,-5.40112464218362,46.5443111454021
1.27,-11.2936222442488,4.5722642103881,6.72135803547987,46.5443111454021
1.28,-15.5175197032964,14.1616031427755,1.35591656214009,39.2994503778361
1.29,19.1545990218894,3.79151390732237,-22.9461129275925,39.2994503778361
