Time,Vdc
0.1,539.999514720443
0.11,539.999514720443
0.12,539.999514720443
0.13,539.999514720445
0.14,539.999514720445
0.15,539.999514720445
0.16,539.999514720445
0.17,539.999514720445
0.18,539.999514720445
0.19,539.999514720445
0.2,539.999514720445
0.21,539.999514720445
0.22,539.999514720445
0.23,539.999514720445
0.24,539.999514720445
0.25,539.999514720445
0.26,539.999514720445
0.27,539.999514112679
0.28,539.99951411268
0.29,539.999514112679
0.3,539.999514679339
0.31,539.99951411268
0.32,539.999514430153
0.33,539.999514112679
0.34,539.999438608922
0.35,539.999512331171
0.36,539.999513888205
0.37,539.999512212839
0.38,539.999513888206
0.39,539.999513888205
0.4,539.999513888206
0.41,539.999513888205
0.42,539.999513888205
0.43,539.999513888205
0.44,539.999514099723
0.45,539.999514112679
0.46,539.9995141126
0.47,539.999513888177
0.48,539.984942394615
0.49,539.999513887287
0.5,539.999513887351
0.51,539.99951390039
0.52,539.999514111571
0.53,539.999513888204
0.54,539.974678683349
0.55,539.999513888204
0.56,539.910238936545
0.57,539.910941309018
0.58,539.999513888206
0.59,539.999513888206
0.6,539.999514112679
0.61,539.999512474609
0.62,539.999504100699
0.63,539.999513888205
0.64,539.99951411268
0.65,539.999514112494
0.66,539.999153042317
0.67,539.999482653964
0.68,539.975050293683
0.69,539.999513888205
0.7,539.99847955472
0.71,539.999506016999
0.72,539.999507404404
0.73,539.999189988333
0.74,539.999437674433
0.75,539.999433833883
0.76,539.999514113783
0.77,539.999508052268
0.78,539.999513888203
0.79,539.999513888204
0.8,539.999513888205
0.81,539.999514081745
0.82,539.999510364644
0.83,540.000642817107
0.84,539.999513881138
0.85,539.949951496803
0.86,539.99951345126
0.87,539.999514117178
0.88,539.999514112713
0.89,539.999513851161
0.9,539.999514109579
0.91,539.999513888205
0.92,539.999513888257
0.93,539.999463777253
0.94,539.999514112282
0.95,539.999497075027
0.96,539.999514181691
0.97,539.999514092739
0.98,539.999514106636
0.99,540.003066099726
1,539.999513888279
1.01,539.999514078869
1.02,539.96669782467
1.03,539.999513882485
1.04,539.999306141939
1.05,539.999514111064
1.06,539.999498071348
1.07,539.999513001639
1.08,539.999514112495
1.09,539.999514117557
1.1,539.999514112567
1.11,539.999514112377
1.12,539.999513863773
1.13,539.999513851428
1.14,539.999513888196
1.15,539.999513885713
1.16,539.999514112027
1.17,539.999513822727
1.18,539.999513888186
1.19,539.999514088481
1.2,539.999513832488
1.21,539.999514112714
1.22,540.000706101871
1.23,539.999514089745
1.24,539.974319980391
1.25,539.973725553
1.26,539.99951409331
1.27,539.999513886331
1.28,539.999514187776
1.29,539.999513668991
1.3,539.999501422427
1.31,539.999513843034
1.32,539.999391933853
1.33,539.99951410843
1.34,539.999510475697
1.35,539.999514112688
1.36,539.999482425273
1.37,539.991378828274
1.38,539.999501167316
1.39,539.999513888303
1.4,539.999513877871
1.41,539.999513821314
1.42,539.99940947244
1.43,539.998908619386
1.44,539.999514112716
1.45,539.999513847392
1.46,539.999514031789
1.47,539.999455355325
1.48,539.99951392676
1.49,539.999510695614
1.5,539.999513843303
