Time,Idc
0.1,0.0323519708192238
0.11,0.0323519708192238
0.12,0.0323519708192238
0.13,0.0323519708774316
0.14,0.0323519708774316
0.15,0.0323519708774316
0.16,0.0323519708774316
0.17,0.0323519708774316
0.18,0.0323519708774316
0.19,0.0323519708774316
0.2,0.0323519708774316
0.21,0.0323519708774316
0.22,0.0323519708774316
0.23,0.0323519708774316
0.24,0.0323519708774316
0.25,0.0323519708774316
0.26,0.0323519708774316
0.27,0.0323924881920841
0.28,0.0323924883084995
0.29,0.0323924881920841
0.3,0.0323547110588104
0.31,0.0323924883667071
0.32,0.0323713236145861
0.33,0.0323924882502918
0.34,0.0374260719315842
0.35,0.0325112557411079
0.36,0.0324074530650851
0.37,0.0325191446182916
0.38,0.0324074531232928
0.39,0.0324074530650851
0.4,0.0324074531232928
0.41,0.0324074530650851
0.42,0.0324074530650851
0.43,0.0324074531232928
0.44,0.0323933519929947
0.45,0.0323924883084994
0.46,0.0323924935471841
0.47,0.0324074551023515
0.48,1.00384035929292
0.49,0.032407514357697
0.5,0.0324075098757109
0.51,0.0324066408361158
0.52,0.0323925623485776
0.53,0.0324074531232927
0.54,1.68808777690347
0.55,0.0324074531232927
0.56,5.98407089713351
0.57,5.937246065909
0.58,0.0324074531815005
0.59,0.0324074531232928
0.6,0.0323924882502918
0.61,0.0325016931623487
0.62,0.0330599538374167
0.63,0.0324074531232927
0.64,0.0323924883667071
0.65,0.0323925005320971
0.66,0.056463845801527
0.67,0.0344897359759124
0.68,1.66331375485543
0.69,0.0324074531232928
0.7,0.101363018740781
0.71,0.0329322005349214
0.72,0.0328397065616116
0.73,0.054000778203559
0.74,0.0374883714185752
0.75,0.0377444080499359
0.76,0.0323924146176669
0.77,0.0327965158758013
0.78,0.0324074531815003
0.79,0.032407453065085
0.8,0.0324074531815004
0.81,0.0323945504876542
0.82,0.0326423572155661
0.83,-0.0428544735806174
0.84,0.0324079243138838
0.85,3.33656688034126
0.86,0.032436583191301
0.87,0.032392188306485
0.88,0.0323924859219874
0.89,0.0324099229424434
0.9,0.0323926949455096
0.91,0.0324074531232927
0.92,0.0324074498054591
0.93,0.0357481834827287
0.94,0.0323925147347536
0.95,0.033528331790701
0.96,0.0323878874627062
0.97,0.0323938175956553
0.98,0.0323928911051504
0.99,-0.20440664818531
1,0.032407448175646
1.01,0.0323947422817244
1.02,2.22014502220047
1.03,0.0324078344413362
1.04,0.0462572045688091
1.05,0.0323925958761599
1.06,0.0334619104483276
1.07,0.0324665575946516
1.08,0.0323925005903048
1.09,0.0323921631607982
1.1,0.0323924958172809
1.11,0.0323925083319167
1.12,0.0324090818303868
1.13,0.0324099051309152
1.14,0.0324074537635765
1.15,0.0324076193060151
1.16,0.0323925318477906
1.17,0.0324118184611019
