Time,Vrms_1,Vrms_2
0.1,-5.4333868826973e-06,0.00856898029134533
0.11,-4.29827599269552e-06,0.00856898029134533
0.12,-3.39222115803018e-06,0.00856898029134533
0.13,-2.67339997348607e-06,0.00856898029134533
0.14,-2.10514795988486e-06,0.00856898029134533
0.15,-1.65686536255472e-06,0.00856898029134533
0.16,-1.30366124371286e-06,0.00856898029134533
0.17,-1.02557365661051e-06,0.00856898029134535
0.18,-8.06722473552385e-07,0.0171379605826907
0.19,-6.34533928357865e-07,0.0171379605826907
0.2,-4.99079519663519e-07,0.0171379605826907
0.21,-3.92532178463284e-07,0.0171379605826907
0.22,-3.08727442171877e-07,0.0171379605826907
0.23,-2.42812995192963e-07,0.0171379605826907
0.24,-1.90970645739973e-07,0.0171379605826907
0.25,-1.50196628024031e-07,0.0171379605826907
0.26,-1.18128066549658e-07,0.0171379605826907
0.27,1.62355191166591,0.017137960582703
0.28,1.62910525132571,2.23650385604112
0.29,1.61838847492809,2.23650385604113
0.3,-0.166747369755321,2.23650385604113
0.31,1.67341526464063,2.23650385604113
0.32,1.57785395350622,2.23650385604113
0.33,1.65772498085592,2.23650385604113
0.34,6.55102002164219,2.23650385604113
0.35,1.55362303772613,2.23650385604113
0.36,0.00713156100392616,2.23650385604113
0.37,1.57213758387432,2.23650385604113
0.38,-0.00748289411579027,2.50214224507284
0.39,0.00120999661488883,2.50214224507284
0.4,-0.00672323589338781,2.50214224507284
0.41,-0.00344981513613542,2.50214224507284
0.42,0.00841093591023925,2.50214224507284
0.43,0.00978181054375172,2.50214224507284
0.44,34.2045635195257,2.50214224507284
0.45,-1.67264459309524,2.50214224507284
0.46,-6.05144791757862,2.50214224507284
0.47,-1.67775881016665,2.50214224507284
0.48,-0.720826883964976,4.37874892887746
0.49,-6.83046763995908,4.37874892887746
0.5,-6.83406781596841,4.37874892887746
0.51,0.00882324641678592,4.37874892887746
0.52,0.0128060174924684,4.37874892887746
0.53,1.64661255817708,4.37874892887746
0.54,0.634751584579505,4.37874892887746
