,,,,,
,,,,,
,,,,,
,,,,,
0,,,,,0
0,,,,,0.01
0,,,,,0.02
0,,,,,0.03
0,,,,,0.04
0,,,,,0.05
0,,,,,0.06
0,,,,,0.07
0,,,,,0.08
0.1,,,,,0.09
0.2,,,,,0.1
0.3,,,,,0.11
0.4,,,,,0.12
0.6,,,,,0.13
0.7,,,,,0.14
0.8,,,,,0.15
0.9,,,,,0.16
1,,,,,0.17
1.1,,,,,0.18
1.7,,,,,0.19
2.2,,,,,0.2
2.8,,,,,0.21
3.4,,,,,0.22
4,,,,,0.23
4.5,,,,,0.24
5.1,,,,,0.25
5.7,,,,,0.26
6.2,,,,,0.27
6.8,,,,,0.28
7.5,,,,,0.29
8.2,,,,,0.3
9,,,,,0.31
9.7,,,,,0.32
10.4,,,,,0.33
11.1,,,,,0.34
11.8,,,,,0.35
12.6,,,,,0.36
13.3,,,,,0.37
14,,,,,0.38
14.6,,,,,0.39
15.1,,,,,0.4
15.7,,,,,0.41
16.2,,,,,0.42
16.8,,,,,0.43
17.4,,,,,0.44
17.9,,,,,0.45
18.5,,,,,0.46
19,,,,,0.47
19.6,,,,,0.48
19.7,,,,,0.49
19.8,,,,,0.5
19.9,,,,,0.51
20,,,,,0.52
20.2,,,,,0.53
20.3,,,,,0.54
20.4,,,,,0.55
20.5,,,,,0.56
20.6,,,,,0.57
20.7,,,,,0.58
20.2,,,,,0.59
19.8,,,,,0.6
19.3,,,,,0.61
18.8,,,,,0.62
18.4,,,,,0.63
17.9,,,,,0.64
17.4,,,,,0.65
16.9,,,,,0.66
16.5,,,,,0.67
16,,,,,0.68
15.9,,,,,0.69
15.8,,,,,0.7
15.7,,,,,0.71
15.6,,,,,0.72
15.5,,,,,0.73
15.4,,,,,0.74
15.3,,,,,0.75
15.2,,,,,0.76
15.1,,,,,0.77
15,,,,,0.78
14.3,,,,,0.79
13.7,,,,,0.8
13,,,,,0.81
12.4,,,,,0.82
11.7,,,,,0.83
11,,,,,0.84
10.4,,,,,0.85
9.7,,,,,0.86
9.1,,,,,0.87
8.4,,,,,0.88
8,,,,,0.89
7.7,,,,,0.9
7.3,,,,,0.91
7,,,,,0.92
6.6,,,,,0.93
6.2,,,,,0.94
5.9,,,,,0.95
5.5,,,,,0.96
5.2,,,,,0.97
4.8,,,,,0.98
4.8,,,,,0.99
4.9,,,,,1
4.9,,,,,1.01
5,,,,,1.02
5,,,,,1.03
5,,,,,1.04
5.1,,,,,1.05
5.1,,,,,1.06
5.2,,,,,1.07
5.2,,,,,1.08
5.2,,,,,1.09
5.2,,,,,1.1
5.2,,,,,1.11
5.2,,,,,1.12
5.2,,,,,1.13
5.2,,,,,1.14
5.2,,,,,1.15
5.2,,,,,1.16
5.2,,,,,1.17
5.2,,,,,1.18
5.2,,,,,1.19
5.2,,,,,1.2
5.2,,,,,1.21
5.2,,,,,1.22
5.2,,,,,1.23
5.2,,,,,1.24
5.2,,,,,1.25
5.2,,,,,1.26
5.2,,,,,1.27
5.2,,,,,1.28
5.2,,,,,1.29
5.2,,,,,1.3
5.3,,,,,1.31
5.3,,,,,1.32
5.3,,,,,1.33
5.3,,,,,1.34
5.3,,,,,1.35
5.4,,,,,1.36
5.4,,,,,1.37
5.4,,,,,1.38
5.4,,,,,1.39
5.4,,,,,1.4
5.3,,,,,1.41
5.3,,,,,1.42
5.3,,,,,1.43
5.3,,,,,1.44
5.3,,,,,1.45
5.2,,,,,1.46
5.2,,,,,1.47
5.2,,,,,1.48
5.2,,,,,1.49
5.2,,,,,1.5
5.2,,,,,1.51
5.2,,,,,1.52
5.2,,,,,1.53
5.1,,,,,1.54
5.1,,,,,1.55
5.1,,,,,1.56
5.1,,,,,1.57
5.1,,,,,1.58
5.1,,,,,1.59
5.1,,,,,1.6
5.1,,,,,1.61
5.1,,,,,1.62
5.2,,,,,1.63
5.2,,,,,1.64
5.2,,,,,1.65
5.2,,,,,1.66
5.2,,,,,1.67
5.2,,,,,1.68
5.3,,,,,1.69
5.4,,,,,1.7
5.4,,,,,1.71
5.5,,,,,1.72
5.6,,,,,1.73
5.7,,,,,1.74
5.8,,,,,1.75
5.8,,,,,1.76
5.9,,,,,1.77
6,,,,,1.78
6,,,,,1.79
6,,,,,1.8
6,,,,,1.81
6,,,,,1.82
6,,,,,1.83
5.9,,,,,1.84
5.9,,,,,1.85
5.9,,,,,1.86
5.9,,,,,1.87
5.9,,,,,1.88
6.1,,,,,1.89
6.3,,,,,1.9
6.6,,,,,1.91
6.8,,,,,1.92
7,,,,,1.93
7.2,,,,,1.94
7.4,,,,,1.95
7.7,,,,,1.96
7.9,,,,,1.97
8.1,,,,,1.98
8,,,,,1.99
8,,,,,2
7.9,,,,,2.01
7.9,,,,,2.02
7.8,,,,,2.03
7.7,,,,,2.04
7.7,,,,,2.05
7.6,,,,,2.06
7.6,,,,,2.07
7.5,,,,,2.08
7.8,,,,,2.09
8.2,,,,,2.1
8.5,,,,,2.11
8.9,,,,,2.12
9.2,,,,,2.13
9.5,,,,,2.14
9.9,,,,,2.15
10.2,,,,,2.16
10.6,,,,,2.17
10.9,,,,,2.18
11,,,,,2.19
11.2,,,,,2.2
11.3,,,,,2.21
11.5,,,,,2.22
11.6,,,,,2.23
11.7,,,,,2.24
11.9,,,,,2.25
12,,,,,2.26
12.2,,,,,2.27
12.3,,,,,2.28
12.6,,,,,2.29
12.8,,,,,2.3
13.1,,,,,2.31
13.4,,,,,2.32
13.7,,,,,2.33
13.9,,,,,2.34
14.2,,,,,2.35
14.5,,,,,2.36
14.7,,,,,2.37
15,,,,,2.38
15.4,,,,,2.39
15.8,,,,,2.4
16.2,,,,,2.41
16.6,,,,,2.42
17,,,,,2.43
17.4,,,,,2.44
17.8,,,,,2.45
18.2,,,,,2.46
18.6,,,,,2.47
19,,,,,2.48
19.1,,,,,2.49
19.2,,,,,2.5
19.3,,,,,2.51
19.4,,,,,2.52
19.6,,,,,2.53
19.7,,,,,2.54
19.8,,,,,2.55
19.9,,,,,2.56
20,,,,,2.57
20.1,,,,,2.58
20.1,,,,,2.59
20.1,,,,,2.6
20.2,,,,,2.61
20.2,,,,,2.62
20.2,,,,,2.63
20.2,,,,,2.64
20.2,,,,,2.65
20.3,,,,,2.66
20.3,,,,,2.67
20.3,,,,,2.68
20.6,,,,,2.69
20.9,,,,,2.7
21.2,,,,,2.71
21.5,,,,,2.72
21.9,,,,,2.73
22.2,,,,,2.74
22.5,,,,,2.75
22.8,,,,,2.76
23.1,,,,,2.77
23.4,,,,,2.78
23.5,,,,,2.79
23.7,,,,,2.8
23.8,,,,,2.81
24,,,,,2.82
24.1,,,,,2.83
24.2,,,,,2.84
24.4,,,,,2.85
24.5,,,,,2.86
24.7,,,,,2.87
24.8,,,,,2.88
25.1,,,,,2.89
25.3,,,,,2.9
25.6,,,,,2.91
25.8,,,,,2.92
26.1,,,,,2.93
26.4,,,,,2.94
26.6,,,,,2.95
26.9,,,,,2.96
27.1,,,,,2.97
27.4,,,,,2.98
27.4,,,,,2.99
27.4,,,,,3
27.4,,,,,3.01
27.4,,,,,3.02
27.4,,,,,3.03
27.4,,,,,3.04
27.4,,,,,3.05
27.4,,,,,3.06
27.4,,,,,3.07
27.4,,,,,3.08
27.4,,,,,3.09
27.4,,,,,3.1
27.3,,,,,3.11
27.3,,,,,3.12
27.3,,,,,3.13
27.3,,,,,3.14
27.3,,,,,3.15
27.2,,,,,3.16
27.2,,,,,3.17
27.2,,,,,3.18
27.2,,,,,3.19
27.1,,,,,3.2
27.1,,,,,3.21
27.1,,,,,3.22
27.1,,,,,3.23
27,,,,,3.24
27,,,,,3.25
27,,,,,3.26
26.9,,,,,3.27
26.9,,,,,3.28
26.9,,,,,3.29
26.9,,,,,3.3
26.9,,,,,3.31
26.9,,,,,3.32
26.9,,,,,3.33
26.8,,,,,3.34
26.8,,,,,3.35
26.8,,,,,3.36
26.8,,,,,3.37
26.8,,,,,3.38
27,,,,,3.39
27.1,,,,,3.4
27.3,,,,,3.41
27.4,,,,,3.42
27.6,,,,,3.43
27.8,,,,,3.44
27.9,,,,,3.45
28.1,,,,,3.46
28.2,,,,,3.47
28.4,,,,,3.48
28.7,,,,,3.49
29,,,,,3.5
29.3,,,,,3.51
29.6,,,,,3.52
29.9,,,,,3.53
30.1,,,,,3.54
30.4,,,,,3.55
30.7,,,,,3.56
31,,,,,3.57
31.3,,,,,3.58
31.3,,,,,3.59
31.3,,,,,3.6
31.3,,,,,3.61
31.3,,,,,3.62
31.3,,,,,3.63
31.3,,,,,3.64
31.3,,,,,3.65
31.3,,,,,3.66
31.3,,,,,3.67
31.3,,,,,3.68
31.4,,,,,3.69
31.6,,,,,3.7
31.7,,,,,3.71
31.8,,,,,3.72
32,,,,,3.73
32.1,,,,,3.74
32.2,,,,,3.75
32.3,,,,,3.76
32.5,,,,,3.77
32.6,,,,,3.78
32.6,,,,,3.79
32.7,,,,,3.8
32.7,,,,,3.81
32.8,,,,,3.82
32.8,,,,,3.83
32.8,,,,,3.84
32.9,,,,,3.85
32.9,,,,,3.86
33,,,,,3.87
33,,,,,3.88
33,,,,,3.89
32.9,,,,,3.9
32.9,,,,,3.91
32.8,,,,,3.92
32.8,,,,,3.93
32.8,,,,,3.94
32.7,,,,,3.95
32.7,,,,,3.96
32.6,,,,,3.97
32.6,,,,,3.98
32.8,,,,,3.99
33,,,,,4
33.2,,,,,4.01
33.4,,,,,4.02
33.6,,,,,4.03
33.8,,,,,4.04
34,,,,,4.05
34.2,,,,,4.06
34.4,,,,,4.07
34.6,,,,,4.08
35.2,,,,,4.09
35.8,,,,,4.1
36.5,,,,,4.11
37.1,,,,,4.12
37.7,,,,,4.13
38.3,,,,,4.14
38.9,,,,,4.15
39.6,,,,,4.16
40.2,,,,,4.17
40.8,,,,,4.18
40.8,,,,,4.19
40.8,,,,,4.2
40.8,,,,,4.21
40.8,,,,,4.22
40.8,,,,,4.23
40.8,,,,,4.24
40.8,,,,,4.25
40.8,,,,,4.26
40.8,,,,,4.27
40.8,,,,,4.28
40.6,,,,,4.29
40.3,,,,,4.3
40.1,,,,,4.31
39.8,,,,,4.32
39.6,,,,,4.33
39.4,,,,,4.34
39.1,,,,,4.35
38.9,,,,,4.36
38.6,,,,,4.37
38.4,,,,,4.38
38.4,,,,,4.39
38.5,,,,,4.4
